country,quarter,house_price_index
ES,2016Q2,73.065
ES,2016Q3,73.7797
ES,2016Q4,72.848
ES,2017Q1,74.7271
ES,2017Q2,75.6351
ES,2017Q3,77.4138
ES,2017Q4,76.9742
ES,2018Q1,78.6459
ES,2018Q2,79.3508
ES,2018Q3,81.1451
ES,2018Q4,80.7391
ES,2019Q1,83.1199
ES,2019Q2,82.878
ES,2019Q3,84.7731
ES,2019Q4,83.3553
ES,2020Q1,85.3388
ES,2020Q2,85.2462
ES,2020Q3,86.7537
ES,2020Q4,85.3706
ES,2021Q1,85.6376
ES,2021Q2,85.8482
ES,2021Q3,87.4019
ES,2021Q4,85.7608
ES,2022Q1,86.17
ES,2022Q2,85.0245
ES,2022Q3,85.4797
ES,2022Q4,84.8561
ES,2023Q1,84.9326
ES,2023Q2,85.57
ES,2023Q3,86.903
ES,2023Q4,85.6999
ES,2024Q1,87.6102
ES,2024Q2,89.2716
ES,2024Q3,92.0855
ES,2024Q4,93.2412
ES,2025Q1,95.7693
ES,2025Q2,98.5509
ES,2025Q3,101.0733
ES,2025Q4,102.1633
FI,2002Q1,72.4307
FI,2002Q2,74.1808
FI,2002Q3,75.1253
FI,2002Q4,75.0722
FI,2003Q1,75.998
FI,2003Q2,77.4488
FI,2003Q3,79.3576
FI,2003Q4,80.263
FI,2004Q1,82.4051
FI,2004Q2,84.2748
FI,2004Q3,84.2127
FI,2004Q4,84.4093
FI,2005Q1,86.2434
FI,2005Q2,88.3767
FI,2005Q3,89.8944
FI,2005Q4,91.6647
FI,2006Q1,92.4703
FI,2006Q2,93.5678
FI,2006Q3,94.0714
FI,2006Q4,94.9536
FI,2007Q1,96.5838
FI,2007Q2,97.1541
FI,2007Q3,97.1601
FI,2007Q4,96.6425
FI,2008Q1,96.0886
FI,2008Q2,95.6217
FI,2008Q3,93.6643
FI,2008Q4,90.1046
FI,2009Q1,92.7232
FI,2009Q2,94.1247
FI,2009Q3,95.8955
FI,2009Q4,98.0789
FI,2010Q1,99.6381
FI,2010Q2,99.7295
FI,2010Q3,100.9364
FI,2010Q4,99.6978
FI,2011Q1,99.6476
FI,2011Q2,100.6222
FI,2011Q3,99.987
FI,2011Q4,98.79
FI,2012Q1,99.2969
FI,2012Q2,99.4951
FI,2012Q3,99.3799
FI,2012Q4,99.2816
FI,2013Q1,99.5415
FI,2013Q2,99.303
FI,2013Q3,99.1486
FI,2013Q4,98.217
FI,2014Q1,98.0463
FI,2014Q2,98.199
FI,2014Q3,97.5806
FI,2014Q4,96.9307
FI,2015Q1,97.5758
FI,2015Q2,98.2222
FI,2015Q3,98.2029
FI,2015Q4,97.5637
FI,2016Q1,98.5894
FI,2016Q2,99.0892
FI,2016Q3,99.3389
FI,2016Q4,98.1322
FI,2017Q1,98.8126
FI,2017Q2,99.8801
FI,2017Q3,99.2484
FI,2017Q4,98.5103
FI,2018Q1,99.0566
FI,2018Q2,99.6786
FI,2018Q3,98.9346
FI,2018Q4,98.2704
FI,2019Q1,98.3059
FI,2019Q2,99.1298
FI,2019Q3,98.4861
FI,2019Q4,97.6029
FI,2020Q1,98.643
FI,2020Q2,100.0054
FI,2020Q3,99.8686
FI,2020Q4,100.904
FI,2021Q1,101.662
FI,2021Q2,103.3056
FI,2021Q3,102.4113
FI,2021Q4,101.2586
FI,2022Q1,99.8191
FI,2022Q2,98.698
FI,2022Q3,96.1159
FI,2022Q4,90.8526
FI,2023Q1,87.0771
FI,2023Q2,86.6428
FI,2023Q3,83.7292
FI,2023Q4,82.6107
FI,2024Q1,81.2806
FI,2024Q2,81.5653
FI,2024Q3,81.2961
FI,2024Q4,80.3255
FI,2025Q1,79.3157
FI,2025Q2,80.1258
FI,2025Q3,78.1793
FI,2025Q4,77.7746
FR,2002Q1,63.5753
FR,2002Q2,65.2558
FR,2002Q3,67.7319
FR,2002Q4,68.1369
FR,2003Q1,68.8809
FR,2003Q2,71.2389
FR,2003Q3,74.0757
FR,2003Q4,74.8182
FR,2004Q1,76.8636
FR,2004Q2,79.2413
FR,2004Q3,82.9563
FR,2004Q4,84.5335
FR,2005Q1,87.0175
FR,2005Q2,89.9172
FR,2005Q3,93.8134
FR,2005Q4,95.3826
FR,2006Q1,97.278
FR,2006Q2,99.2571
FR,2006Q3,102.2034
FR,2006Q4,103.1574
FR,2007Q1,103.7874
FR,2007Q2,104.4927
FR,2007Q3,106.6754
FR,2007Q4,106.2879
FR,2008Q1,104.9277
FR,2008Q2,103.8913
FR,2008Q3,103.924
FR,2008Q4,100.9884
FR,2009Q1,97.6312
FR,2009Q2,95.7699
FR,2009Q3,97.3453
FR,2009Q4,97.3771
FR,2010Q1,97.5617
FR,2010Q2,98.6502
FR,2010Q3,101.4766
FR,2010Q4,102.287
FR,2011Q1,102.1842
FR,2011Q2,103.0302
FR,2011Q3,105.2395
FR,2011Q4,103.5555
FR,2012Q1,101.6241
FR,2012Q2,100.8152
FR,2012Q3,101.5626
FR,2012Q4,99.8752
FR,2013Q1,98.5396
FR,2013Q2,97.9136
FR,2013Q3,98.7157
FR,2013Q4,97.7071
FR,2014Q1,96.4032
FR,2014Q2,96.1621
FR,2014Q3,97.0841
FR,2014Q4,95.3513
FR,2015Q1,94.8173
FR,2015Q2,94.0629
FR,2015Q3,95.6784
FR,2015Q4,95.164
FR,2016Q1,95.1382
FR,2016Q2,94.7361
FR,2016Q3,96.8278
FR,2016Q4,96.1986
FR,2017Q1,96.6274
FR,2017Q2,96.9954
FR,2017Q3,99.0887
FR,2017Q4,98.2912
FR,2018Q1,98.116
FR,2018Q2,97.8553
FR,2018Q3,99.5714
FR,2018Q4,99.5792
FR,2019Q1,99.7812
FR,2019Q2,99.8628
FR,2019Q3,101.9358
FR,2019Q4,102.2358
FR,2020Q1,103.416
FR,2020Q2,104.7395
FR,2020Q3,106.5584
FR,2020Q4,108.1313
FR,2021Q1,108.334
FR,2021Q2,109.5723
FR,2021Q3,112.2253
FR,2021Q4,112.5061
FR,2022Q1,111.8132
FR,2022Q2,111.1164
FR,2022Q3,112.8278
FR,2022Q4,111.0659
FR,2023Q1,108.5261
FR,2023Q2,106.3737
FR,2023Q3,106.0969
FR,2023Q4,103.2317
FR,2024Q1,100.5522
FR,2024Q2,99.3364
FR,2024Q3,100.6522
FR,2024Q4,100.0356
FR,2025Q1,99.8815
FR,2025Q2,99.1566
FR,2025Q3,100.3502
FR,2025Q4,100.1856
GR,2002Q1,93.9116
GR,2002Q2,96.7616
GR,2002Q3,98.0545
GR,2002Q4,98.2402
GR,2003Q1,99.4764
GR,2003Q2,97.071
GR,2003Q3,99.1389
GR,2003Q4,98.3198
GR,2004Q1,97.8569
GR,2004Q2,96.3905
GR,2004Q3,98.6319
GR,2004Q4,98.861
GR,2005Q1,101.9492
GR,2005Q2,103.0645
GR,2005Q3,106.5434
GR,2005Q4,107.9165
GR,2006Q1,112.0074
GR,2006Q2,113.0191
GR,2006Q3,115.5599
GR,2006Q4,118.6806
GR,2007Q1,118.5487
GR,2007Q2,117.6459
GR,2007Q3,119.5312
GR,2007Q4,117.2875
GR,2008Q1,116.9994
GR,2008Q2,114.2616
GR,2008Q3,115.9146
GR,2008Q4,114.6558
GR,2009Q1,111.4224
GR,2009Q2,110.6971
GR,2009Q3,109.2424
GR,2009Q4,107.9627
GR,2010Q1,106.2279
GR,2010Q2,100.3345
GR,2010Q3,98.1406
GR,2010Q4,95.5631
GR,2011Q1,95.9735
GR,2011Q2,91.965
GR,2011Q3,91.314
GR,2011Q4,86.8191
GR,2012Q1,84.1442
GR,2012Q2,80.7683
GR,2012Q3,78.7745
GR,2012Q4,74.8793
GR,2013Q1,74.4672
GR,2013Q2,71.4453
GR,2013Q3,71.4849
GR,2013Q4,69.1792
GR,2014Q1,68.6038
GR,2014Q2,66.5535
GR,2014Q3,66.976
GR,2014Q4,66.5695
GR,2015Q1,67.3849
GR,2015Q2,64.6323
GR,2015Q3,64.2259
GR,2015Q4,63.5543
GR,2016Q1,65.0473
GR,2016Q2,63.5975
GR,2016Q3,63.7566
GR,2016Q4,63.1824
GR,2017Q1,62.9425
GR,2017Q2,62.1274
GR,2017Q3,62.7325
GR,2017Q4,62.3937
GR,2018Q1,63.3173
GR,2018Q2,62.5845
GR,2018Q3,63.543
GR,2018Q4,63.6859
GR,2019Q1,66.3542
GR,2019Q2,67.1188
GR,2019Q3,68.8516
GR,2019Q4,68.3864
GR,2020Q1,70.564
GR,2020Q2,70.9774
GR,2020Q3,72.9046
GR,2020Q4,72.0312
GR,2021Q1,74.9826
GR,2021Q2,75.6339
GR,2021Q3,77.9059
GR,2021Q4,75.8914
GR,2022Q1,76.7863
GR,2022Q2,75.4159
GR,2022Q3,78.5656
GR,2022Q4,80.0765
GR,2023Q1,83.8519
GR,2023Q2,84.4807
GR,2023Q3,86.629
GR,2023Q4,87.1808
GR,2024Q1,90.1308
GR,2024Q2,90.3971
GR,2024Q3,91.4131
GR,2024Q4,91.409
GR,2025Q1,94.4405
GR,2025Q2,95.332
GR,2025Q3,96.4274
GR,2025Q4,96.1333
IE,2002Q1,101.1838
IE,2002Q2,100.3197
IE,2002Q3,104.5917
IE,2002Q4,107.275
IE,2003Q1,108.5709
IE,2003Q2,109.2534
IE,2003Q3,114.7832
IE,2003Q4,119.5605
IE,2004Q1,118.9152
IE,2004Q2,118.7867
IE,2004Q3,123.7792
IE,2004Q4,129.5681
IE,2005Q1,129.4423
IE,2005Q2,130.5077
IE,2005Q3,134.5564
IE,2005Q4,139.5555
IE,2006Q1,141.4267
IE,2006Q2,144.2815
IE,2006Q3,151.2045
IE,2006Q4,153.235
IE,2007Q1,154.3365
IE,2007Q2,151.9434
IE,2007Q3,150.4122
IE,2007Q4,148.2679
IE,2008Q1,143.8638
IE,2008Q2,137.4005
IE,2008Q3,132.7688
IE,2008Q4,127.1434
IE,2009Q1,121.8602
IE,2009Q2,115.048
IE,2009Q3,111.3268
