country,quarter,house_price_index,rent_index,leverage_ratio,ecb_shock,price_rent_ratio,log_house_price,log_rent,log_price_rent_ratio
FI,2003Q1,75.998,59.01666666666667,65.27,0.09542948,1.2877379271392262,4.330707024150591,4.0778198898898035,0.25288713426078785
FI,2003Q2,77.4488,59.53666666666667,66.2,0.07514996,1.3008588544874307,4.349617072875835,4.086592369248282,0.2630247036275529
FI,2003Q3,79.3576,59.77333333333333,68.31,0.00414956,1.3276422038813296,4.373964220583837,4.090559630619129,0.28340458996470796
FI,2003Q4,80.263,59.906666666666666,69.44,0.04143882,1.3398008012463833,4.385308742660022,4.09278779553385,0.2925209471261724
FI,2004Q1,82.4051,60.11666666666667,70.88,-0.00241803,1.370752980316052,4.411647328204004,4.096287118681438,0.3153602095225659
FI,2004Q2,84.2748,60.02333333333333,72.42,0.05648209,1.4040339867829177,4.434082887934276,4.094733375513305,0.3393495124209722
FI,2004Q3,84.2127,61.19,73.85,0.01864253,1.3762493871547639,4.433345741228295,4.113983777474449,0.3193619637538462
FI,2004Q4,84.4093,61.56333333333333,74.92,0.0134245,1.371096973306622,4.435677585104946,4.12006645521971,0.3156111298852358
FI,2005Q1,86.2434,61.833333333333336,76.33,-0.01816235,1.3947719676549863,4.457173531244401,4.1244425933793805,0.3327309378650208
FI,2005Q2,88.3767,62.25,78.82,0.00798641,1.4197060240963855,4.481608360241059,4.131158535344817,0.3504498248962415
FI,2005Q3,89.8944,62.66666666666666,81.03,-0.02394718,1.434485106382979,4.4986356481024545,4.137829674161839,0.36080597394061564
FI,2005Q4,91.6647,62.86333333333334,83.69,-0.06233713,1.4581584389416193,4.518137354222855,4.1409630578561645,0.37717429636669086
FI,2006Q1,92.4703,63.17,84.01,0.00109681,1.4638325154345415,4.526887511879732,4.145829504910609,0.38105800696912256
FI,2006Q2,93.5678,63.64666666666667,87.19,-0.09556971,1.470113124541741,4.538686307202074,4.153346953901777,0.38533935330029667
FI,2006Q3,94.0714,63.85999999999999,88.94,0.02913577,1.4730880050109616,4.544054068407399,4.156693187286636,0.38736088112076333
FI,2006Q4,94.9536,64.22333333333334,90.64,0.01058187,1.4784906835521874,4.5533883512314945,4.16236659222456,0.3910217590069349
FI,2007Q1,96.5838,64.67333333333333,91.88,-0.0274856099999999,1.4934099577363158,4.570411025291588,4.169348957865028,0.40106206742656064
FI,2007Q2,97.1541,65.09333333333333,92.57,0.01080658,1.4925353338795575,4.576298377712145,4.175822137416595,0.4004762402955493
FI,2007Q3,97.1601,65.42999999999999,94.15,-0.0322175799999999,1.484947271893627,4.576360133363578,4.180980868881647,0.39537926448193067
